date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:19	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6253f164-308801989c19e124;gz%22	https://banner.d7y.dev/robots.txt		(from )
10:03:20	5474/5474	---M-Z	200	added ('OK')	text/html	etag:%221562-64b6cd27-5b3be395743d6a0e;gz%22	https://banner.d7y.dev/	C:/Users/Amx/Desktop/Test/banner.d7y.dev/index.html	(from )
10:03:20	6555/6555	---M-Z	200	added ('OK')	application/x-javascript	etag:%22199b-64b6b3b5-6d1f51b17660c031;gz%22	https://banner.d7y.dev/js/download.js	C:/Users/Amx/Desktop/Test/banner.d7y.dev/js/download.js	(from https://banner.d7y.dev/)
10:03:20	7694/7694	---M-Z	200	added ('OK')	application/x-javascript	etag:%221e0e-64b6b3b5-a9b43919e2bca719;gz%22	https://banner.d7y.dev/js/LZWEncoder.js	C:/Users/Amx/Desktop/Test/banner.d7y.dev/js/LZWEncoder.js	(from https://banner.d7y.dev/)
10:03:20	12485/12485	---M-Z	200	added ('OK')	application/x-javascript	etag:%2230c5-64b6b3b5-f14f97475680aa67;gz%22	https://banner.d7y.dev/js/NeuQuant.js	C:/Users/Amx/Desktop/Test/banner.d7y.dev/js/NeuQuant.js	(from https://banner.d7y.dev/)
10:03:20	14732/14732	---M-Z	200	added ('OK')	application/x-javascript	etag:%22398c-64b6b3b5-4e451af46ebbe9fc;gz%22	https://banner.d7y.dev/js/GIFEncoder.js	C:/Users/Amx/Desktop/Test/banner.d7y.dev/js/GIFEncoder.js	(from https://banner.d7y.dev/)
10:03:21	632/632	---M-Z	200	added ('OK')	application/x-javascript	etag:%22278-64b6b3b5-fcc85f84d45fb0ea;gz%22	https://banner.d7y.dev/js/b64.js	C:/Users/Amx/Desktop/Test/banner.d7y.dev/js/b64.js	(from https://banner.d7y.dev/)
10:03:21	2316/2316	---M-Z	200	added ('OK')	application/x-javascript	etag:%2290c-64b6b3b5-1640fb24b264fd2e;gz%22	https://banner.d7y.dev/js/script.js	C:/Users/Amx/Desktop/Test/banner.d7y.dev/js/script.js	(from https://banner.d7y.dev/)
10:03:21	8762/8762	---M-Z	200	added ('OK')	text/css	etag:%22223a-64b6b72c-3d7e3f605316396e;gz%22	https://banner.d7y.dev/css/style.css	C:/Users/Amx/Desktop/Test/banner.d7y.dev/css/style.css	(from https://banner.d7y.dev/)
10:03:21	16195/16195	---M--	200	added ('OK')	image/png	etag:%223f43-64b6b67c-e33238a623999e60;;;%22	https://banner.d7y.dev/image/favicon.png	C:/Users/Amx/Desktop/Test/banner.d7y.dev/image/favicon.png	(from https://banner.d7y.dev/)
10:03:21	18474/18474	---M--	200	added ('OK')	image/png	etag:%22482a-64b6b3b5-3951d89dbe35158;;;%22	https://banner.d7y.dev/image/logo.png	C:/Users/Amx/Desktop/Test/banner.d7y.dev/image/logo.png	(from https://banner.d7y.dev/)
10:03:22	59929/59929	---M--	200	added ('OK')	image/gif	etag:%22ea19-64b6b3b5-4a3c0efe40c43882;;;%22	https://banner.d7y.dev/image/title.gif	C:/Users/Amx/Desktop/Test/banner.d7y.dev/image/title.gif	(from https://banner.d7y.dev/)
10:03:22	18313/18313	---M--	200	added ('OK')	image/png	etag:%224789-64b6b3b5-4bf30bd109257f5c;;;%22	https://banner.d7y.dev/image/github2.png	C:/Users/Amx/Desktop/Test/banner.d7y.dev/image/github2.png	(from https://banner.d7y.dev/)
10:03:22	36/36	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2009%20Jul%202024%2007:03:22%20GMT	https://cdn.discordapp.com/attachments/729486981268111441/1130868679500894208/download_3.gif	C:/Users/Amx/Desktop/Test/cdn.discordapp.com/attachments/729486981268111441/1130868679500894208/download_3.b.delayed	(from https://banner.d7y.dev/)
10:03:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6253f164-308801989c19e124;gz%22	https://banner.d7y.dev/GET	C:/Users/Amx/Desktop/Test/banner.d7y.dev/GET	(from https://banner.d7y.dev/js/download.js)
